name,folder_path,num_permissions,num_unused,num_high_risk,unused_ratio,credential_theft,financial_data,personal_identity,browsing_tracking,system_control,network_interception,file_data,num_site_hits,label
Adblock Plus ,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\cfhdojbkjhnklbpkdaibdccddilifddb\4.43.3_0,11,10,3,0.909090909,0,2,0,3,1,2,0,1,LOW
"Adobe Acrobat:PDF edit,convert,sign tools",C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\efaidnbmnnnibpcajpcglclefindmkaj\26.8.2.1_0,16,2,6,0.125,2,3,0,3,2,2,1,1,LOW
Ahrefs SEO Toolbar,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\hgmoccdbjhknikckedaaebbpdeebhiei\3.2.10_0,9,1,5,0.111111111,0,1,0,2,0,1,0,1,LOW
AI Grammar and Spell Checker by Ginger,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\kdfieneakcjfaiglcfcgkidlkmlijjnh\2.15.357_0,6,2,4,0.333333333,1,1,0,1,0,0,0,0,LOW
AI Grammar Checker & Paraphraser ,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\oldceeleldhonbafppcapldpdifcinji\11.2.3_0,5,4,0,0.8,0,0,0,0,1,0,0,0,LOW
"AI Web Clipper - Pocket Alternative, Save & Read Later",C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\odploolgnnjmefgcheaechhldnklfdnp\1.0.1_0,7,0,1,0,0,1,0,1,1,1,0,1,LOW
Awesome Screen Recorder & Screenshot,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\nlipoenfbbikpbjkfpfillcgkoblgpmj\4.4.43_0,14,2,4,0.142857143,1,2,0,2,1,1,0,1,LOW
Bitwarden Password Manager,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\nngceckbapebfimnlniiiahkandclblb\2026.8.0_0,18,4,4,0.222222222,1,2,0,2,1,1,0,0,LOW
Boomerang for Gmail,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\mdanidgdpmkimeiiojknlnekblgmpdll\1.9.4_0,2,0,1,0,0,0,0,0,1,0,0,0,LOW
Buffer,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\noojglkidnpfjbincgijbaiedldjfbhh\6.0.27_0,6,0,3,0,0,0,0,1,1,0,0,0,LOW
Checker Plus for Gmail™,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\oeopbcgkkoapgobdbedcemjljbihmemj\36.4_0,16,1,2,0.0625,1,1,0,0,1,0,0,1,LOW
Checker Plus for Google Calendar™,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\hkhggnncdpfibdhinjiegagmopldibha\46.1.1_0,14,2,0,0.142857143,0,0,0,0,1,0,0,0,LOW
Clipboard Manager and Text Expander - Clipboard History Pro,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\ajiejmhbejpdgkkigpddefnjmgcbkenk\3623_0,10,1,1,0.1,1,2,0,1,1,1,0,1,LOW
Clockify Time Tracker,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\pmjeegjhjdlccodhacdgbgfagbpmccpe\2.12.7_0,12,8,3,0.666666667,0,0,0,1,1,0,0,1,LOW
ColorZilla,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\bhlhnicpbhignbdhedgjhgdocnmhomnp\4.1_0,5,3,2,0.6,0,1,0,2,1,1,0,1,LOW
Dark Mode for All Websites,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\bkkmebacdnlpmchodmppoiidldonbjik\0.0.1_0,3,0,0,0,0,0,0,0,1,0,0,0,LOW
Decentraleyes,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\ldpochfccmkkmhdbclfhpagapcfdljkj\3.0.2_0,7,2,3,0.285714286,0,1,1,1,1,1,0,1,LOW
DocHub - Sign PDF from Gmail,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\mjgcgnfikekladnkhnimljcalfibijha\2.4.0_0,1,0,1,0,0,1,0,1,0,1,0,1,LOW
Download Twitter videos,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\gafbfkfkcfogdbcpannaipilhnjbbebd\5.0.2_0,11,2,8,0.181818182,0,1,0,1,1,1,0,2,LOW
DuckDuckGo Search & Tracker Protection,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\bkdgflcldnnnapblkhphbgpggdiikppg\2026.8.6_0,12,5,4,0.416666667,1,2,0,2,1,1,0,1,LOW
D�CENT Wallet ,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\pehjmcpnbaogigbginlmkcmjgeiiggng\1.0.17_0,11,1,3,0.090909091,1,1,0,1,1,0,0,0,LOW
Ecommerce Image Downloader,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\oiaoeonjapnkifnhofdkgiohaieebokn\2.9.4_0,6,0,4,0,0,0,0,0,0,0,1,0,LOW
Enhancer for YouTube™,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\ponfpcnoihfmfllpaingbgckeeldkhle\3.0.19_0,3,0,2,0,0,0,0,0,0,0,0,0,LOW
Evernote Web Clipper,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\pioclpoplcdbaefihamjohnefbikjilc\7.41.1_0,8,4,3,0.5,1,2,0,2,1,1,0,1,LOW
Eye Dropper,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\hmdcmlfkchdmnmnmheododdhjedfccka\4.10.3.17_0,3,2,0,0.666666667,0,0,0,0,1,0,0,0,LOW
Font Finder,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\bhiichidigehdgphoambhjbekalahgha\0.6.5_0,5,0,0,0,0,0,0,0,1,0,0,0,LOW
"Forest: stay focused, be present",C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\kjacjjdnoddnpbbcjilcajfhhbdhkpgk\6.5.0_0,11,4,3,0.363636364,0,0,0,1,1,0,0,0,LOW
Free VPN - Super Fast Unlimited VPN Proxy for Chrome,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\cppljodbhecoilefippjhdbekghdigae\1.1.8_0,6,1,3,0.166666667,0,2,0,1,0,2,0,1,LOW
Free VPN For Chrome - VPN Extension � Windscribe,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\hnmpcagpplmpfojmgmnngilcnanddlhb\4.2.9_0,16,3,6,0.1875,0,3,1,3,3,3,0,1,LOW
Full Page Screen Capture,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\pmabjgjpcbofkbbeiphkiaanogobokgg\3.15.18_0,7,0,3,0,0,1,0,2,1,1,1,1,LOW
Ghostery AdBlocker for Privacy,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\mlomiejdfkolichcflejclcbmpeaniij\10.5.58_0,17,3,5,0.176470588,1,2,0,2,1,1,0,0,LOW
Google Docs Offline,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\ghbmnnjooekpmoecnnnilnnbdlolhkhi\1.109.1_0,6,1,2,0.166666667,0,0,0,0,0,0,0,0,LOW
Google Keep Chrome Extension,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\lpcaedmchfhocbbapmcbpinfpgnhiddi\4.26341.540.1_0,10,3,3,0.3,0,0,0,1,1,0,0,0,LOW
Google Translate,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\aapbdbdomjkkjkaonfhkkikfgjllcleb\2.0.17_0,5,0,0,0,0,0,0,0,1,0,0,0,LOW
Grammarly: AI Writing Assistant and Grammar Checker App,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\kbfnbcaeplbcioakkpcpgfkobkghlhen\14.1324.0_0,9,1,4,0.111111111,1,1,0,1,1,0,0,0,LOW
Google Translate,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\djcfdncoelnlbldjfhinnjlhdjlikmph\1.0.0_0,4,1,2,0.25,0,1,0,2,1,1,0,1,LOW
Honey Search Protection,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\kaagccfaeapfijdjdjmdfjbgfelniaoc\3.3.8_0,10,0,6,0,0,1,2,3,0,1,0,1,LOW
JSON Formatter,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\bcjindcccaagfpapjjmafapmmgkkhgoa\0.10.2_0,3,0,2,0,0,1,0,1,0,1,0,1,LOW
