name,folder_path,num_permissions,num_unused,num_high_risk,unused_ratio,credential_theft,financial_data,personal_identity,browsing_tracking,system_control,network_interception,file_data,num_site_hits,label
Adblock Plus ,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\cfhdojbkjhnklbpkdaibdccddilifddb\4.43.3_0,11,10,3,0.909090909,0,2,0,3,1,2,0,1,HIGH
Bitwarden Password Manager,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\nngceckbapebfimnlniiiahkandclblb\2026.8.0_0,18,4,4,0.222222222,1,2,0,2,1,1,0,0,HIGH
Keeper? Password Manager & Digital Vault,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\bfogiafebfohielmmehodmfbbebbbpei\18.0.0_0,17,4,6,0.235294118,0,2,1,3,2,2,0,1,HIGH
LastPass: Free Password Manager,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\hdokiejnpimakedhajhdlcegeplioahd\4.155.0_0,15,5,5,0.333333333,1,2,0,2,1,1,0,0,HIGH
Adblock Plus ,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\cfhdojbkjhnklbpkdaibdccddilifddb\4.43.3_0,11,10,3,0.909090909,0,2,0,3,1,2,0,1,HIGH
SafeToOpen Browser Security and Privacy,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\ekfkopmgnijagfmjgcjkbffcnmggekec\8.1.0_0,15,4,6,0.266666667,1,2,1,4,2,2,1,1,HIGH
Postman Interceptor,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\aicmkgpgakddgnaphhhpliifpcfhicfo\3.2.1_0,7,1,5,0.142857143,2,2,0,2,2,1,0,1,HIGH
uBlock Origin Lite,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\ddkjiahejlhfcafbddmgiahcphecmpfh\2026.825.1619_0,9,5,1,0.555555556,0,1,0,1,1,1,0,1,MEDIUM
Grammarly: AI Writing Assistant and Grammar Checker App,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\kbfnbcaeplbcioakkpcpgfkobkghlhen\14.1324.0_0,9,1,4,0.111111111,1,1,0,1,1,0,0,0,MEDIUM
Honey Search Protection,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\kaagccfaeapfijdjdjmdfjbgfelniaoc\3.3.8_0,10,0,6,0,0,1,2,3,0,1,0,1,MEDIUM
Notion Web Clipper,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\knheggckgoiihginacbkhaalnibhilkk\0.2.13_0,8,2,5,0.25,1,1,0,0,1,0,0,0,MEDIUM
Streak CRM for Gmail,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\pnnfemgpilpdaojpnkjdgfgbnnjojfik\7.97_0,10,1,7,0.1,0,0,0,0,2,0,0,3,MEDIUM
Todoist for Chrome: Planner & Calendar,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\jldhpllghnbhlbpcmnajkpdmadaolakh\12.21.9_0,10,1,5,0.1,0,0,0,1,1,0,0,2,LOW
Dark Mode for All Websites,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\bkkmebacdnlpmchodmppoiidldonbjik\0.0.1_0,3,0,0,0,0,0,0,0,1,0,0,0,LOW
Google Translate,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\aapbdbdomjkkjkaonfhkkikfgjllcleb\2.0.17_0,5,0,0,0,0,0,0,0,1,0,0,0,LOW
Weather extension,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\mfhfabihcpklaoadegkbfpfbenneniad\4.2_0,0,0,0,0,0,0,0,0,0,0,0,0,LOW
Momentum,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\laookkfknpbbblfpciffpaejjkokdgca\2.27.4_0,3,1,0,0.333333333,0,0,0,0,0,0,0,0,LOW
Eye Dropper,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\hmdcmlfkchdmnmnmheododdhjedfccka\4.10.3.17_0,3,2,0,0.666666667,0,0,0,0,1,0,0,0,LOW
Font Finder,C:\Users\Kavindu\AppData\Local\Google\Chrome\User Data\Default\Extensions\bhiichidigehdgphoambhjbekalahgha\0.6.5_0,5,0,0,0,0,0,0,0,1,0,0,0,LOW
